comparison,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_intercept,ols_slope,ols_slope_stderr
apparent,8,0.9671543252417556,8.641997188876811e-05,0.8571428571428572,0.006530017254715292,4.149676951931205,0.8343022784707133,0.0895179928904888
cluster_anchor,8,0.20101474791346946,0.6331272581481123,0.07142857142857144,0.8665262706759088,-2.9028501008212686,0.12813930172937849,0.25493082883674467
individual_anchor,8,0.412147613881929,0.3102757868645098,0.4761904761904762,0.23293553465009798,-2.262449915985944,0.3601076857625324,0.3249961127876169
