sample,model,galaxy,delta_mu_sbf_minus_trgb
automatic_clean_10,constant,NGC 4406,-0.05874203294840896
automatic_clean_10,constant,NGC 4552,0.14716059943271986
automatic_clean_10,constant,NGC 4621,0.08505486616164504
automatic_clean_10,constant,NGC 4697,-0.038892719479420634
automatic_clean_10,linear,NGC 1380,-0.12603481197211863
automatic_clean_10,linear,NGC 1399,-0.16852828816751853
automatic_clean_10,linear,NGC 1404,0.019922897429946573
automatic_clean_10,linear,NGC 1549,-0.057511122305740514
automatic_clean_10,linear,NGC 3379,0.15846689563438687
automatic_clean_10,linear,NGC 4374,0.028349653153320276
automatic_clean_10,linear,NGC 4406,-0.2013980806171496
automatic_clean_10,linear,NGC 4552,0.13902119827647041
automatic_clean_10,linear,NGC 4621,0.07790203346806379
automatic_clean_10,linear,NGC 4697,-0.0031815956878951113
automatic_clean_10,quadratic,NGC 1380,-0.05181529369700044
automatic_clean_10,quadratic,NGC 1399,-0.21166798928681985
automatic_clean_10,quadratic,NGC 1404,-0.019861081403568903
automatic_clean_10,quadratic,NGC 1549,-0.06998737278838618
automatic_clean_10,quadratic,NGC 3379,0.12746791341877994
automatic_clean_10,quadratic,NGC 4374,-0.008301054964857002
automatic_clean_10,quadratic,NGC 4406,0.08619180436627616
automatic_clean_10,quadratic,NGC 4552,0.11048294835252648
automatic_clean_10,quadratic,NGC 4621,0.04394490677555396
automatic_clean_10,quadratic,NGC 4697,0.07785622077073384
automatic_clean_10,broken,NGC 1380,-0.06696863424809862
automatic_clean_10,broken,NGC 1399,-0.2250813913885601
automatic_clean_10,broken,NGC 1404,-0.012538969604843686
automatic_clean_10,broken,NGC 1549,-0.04452850481571957
automatic_clean_10,broken,NGC 3379,0.13395399454684664
automatic_clean_10,broken,NGC 4374,-0.016111654783745877
automatic_clean_10,broken,NGC 4406,1.674025684886768
automatic_clean_10,broken,NGC 4552,0.1057515997250924
automatic_clean_10,broken,NGC 4621,0.03755826813629071
automatic_clean_10,broken,NGC 4697,0.06624679439397596
paper_iv_high_quality_9,constant,NGC 1380,-0.16164489251005776
paper_iv_high_quality_9,constant,NGC 1404,-0.006592625444163502
paper_iv_high_quality_9,constant,NGC 3379,0.13235943067537903
paper_iv_high_quality_9,constant,NGC 4374,0.0071727902350104955
paper_iv_high_quality_9,constant,NGC 4406,-0.0889530533121139
paper_iv_high_quality_9,constant,NGC 4552,0.11958868339983653
paper_iv_high_quality_9,constant,NGC 4621,0.05663843398928137
paper_iv_high_quality_9,constant,NGC 4636,0.010605314217343675
paper_iv_high_quality_9,constant,NGC 4697,-0.06876185706250837
paper_iv_high_quality_9,linear,NGC 1380,-0.17388145051492998
paper_iv_high_quality_9,linear,NGC 1404,-0.004109174896562706
paper_iv_high_quality_9,linear,NGC 3379,0.13666854814884744
paper_iv_high_quality_9,linear,NGC 4374,0.004475503834754591
paper_iv_high_quality_9,linear,NGC 4406,-0.19696153910923542
paper_iv_high_quality_9,linear,NGC 4552,0.11440887987919623
paper_iv_high_quality_9,linear,NGC 4621,0.05409426611808499
paper_iv_high_quality_9,linear,NGC 4636,-0.02897181030974849
paper_iv_high_quality_9,linear,NGC 4697,-0.03951404638771194
paper_iv_high_quality_9,quadratic,NGC 1380,-0.07314522689858194
paper_iv_high_quality_9,quadratic,NGC 1404,-0.07414248315011562
paper_iv_high_quality_9,quadratic,NGC 3379,0.08179671669789457
paper_iv_high_quality_9,quadratic,NGC 4374,-0.06151418498834005
paper_iv_high_quality_9,quadratic,NGC 4406,-0.053201416220332476
paper_iv_high_quality_9,quadratic,NGC 4552,0.06113335436183576
paper_iv_high_quality_9,quadratic,NGC 4621,-0.007861055026932462
paper_iv_high_quality_9,quadratic,NGC 4636,0.030733451471249396
paper_iv_high_quality_9,quadratic,NGC 4697,0.0680891267425281
paper_iv_high_quality_9,broken,NGC 1380,-0.07919060196734407
paper_iv_high_quality_9,broken,NGC 1404,-0.06476133148882468
paper_iv_high_quality_9,broken,NGC 3379,0.0917225194631186
paper_iv_high_quality_9,broken,NGC 4374,-0.07375039607731892
paper_iv_high_quality_9,broken,NGC 4406,-0.0727350539080085
paper_iv_high_quality_9,broken,NGC 4552,0.0515871531062011
paper_iv_high_quality_9,broken,NGC 4621,-0.020023685005845948
paper_iv_high_quality_9,broken,NGC 4636,0.05088011852511087
paper_iv_high_quality_9,broken,NGC 4697,0.07343970317251092
