galaxy,environment,D_trgb_mpc,sigma_D_trgb_mpc,D_sbf_linear_mpc,sigma_D_sbf_linear_mpc,D_sbf_quadratic_mpc,sigma_D_sbf_quadratic_mpc,D_sbf_broken_mpc,sigma_D_sbf_broken_mpc,D_sbf_constant_mpc,sigma_D_sbf_constant_mpc,D_jensen_f160w_mpc,sigma_D_jensen_f160w_mpc
NGC 1380,Fornax,19.124936418442093,0.22018396750781852,17.988788090836074,0.7926869624627789,18.531514079911258,0.6225271909709763,18.612381885049313,0.6122925035328708,18.079524746315336,0.6779055270901746,20.120279064095165,1.1905008676596314
NGC 1399,Fornax,19.934254564980947,0.2386816504866229,18.671717697619844,0.7022244793470654,18.22687077827898,0.47275033410863665,18.034986755653364,0.41352831938785206,18.663085026273315,0.6994157867949334,20.298315568544858,1.1854999370512183
NGC 1404,Fornax,18.75858173799283,0.21596615337806316,18.969855201751344,0.783311920512393,18.682957401800284,0.6340917963282008,18.643812564040836,0.6185618642469557,18.9352509826239,0.7711469633194588,19.840563382616548,1.2228055080182154
NGC 1549,Other,17.627876532324,0.2110663657672378,16.842074824393414,0.7233556066248565,16.89741935000583,0.5402936446402532,17.009611421444518,0.5414207747992206,16.828156366146807,0.6551635926128653,,
NGC 3379,Other,10.365732567670046,0.1336606952143677,11.152105073244279,0.4062407315970404,11.020807882382694,0.32800996094868135,11.010458292198232,0.3210161593811607,11.119198917072035,0.3985708261348833,,
NGC 4374,Virgo,16.687835113653897,0.20749586598202713,17.06089270646415,0.6980326644876205,16.77903905168106,0.5747718789666059,16.66274443333029,0.5581781064442238,17.042648878725668,0.6947770000258109,,
NGC 4406,Virgo,16.565326493180184,0.19071536921888013,16.138968986100977,0.6746717722513635,16.115633791396803,0.5404116095916267,16.255211772108012,0.5401661662323565,16.248195803900003,0.6614404093403501,,
NGC 4472,Virgo,15.966142459934131,0.19852236875266352,15.039897611777482,0.6144820600012625,15.150905311444232,0.493386716752126,15.230649411990264,0.4916584904758668,15.229202191050598,0.6028930680179845,16.189595575972795,0.983197296093612
NGC 4486,Virgo,16.18825362642106,0.18637415740901966,15.707824664231495,0.8167139374428799,16.92513283581854,0.6656590505985727,16.35548682794219,0.6425513523097437,15.947569230487648,0.7312431217259721,,
NGC 4552,Virgo,15.296779272301395,0.1972439611700404,16.368494523398454,0.5921697786643491,16.136122622238513,0.5009576809352274,16.064069136125063,0.4948827909500825,16.358376379180413,0.5965533490721566,,
NGC 4621,Virgo,14.59486223782621,0.1747507435602258,15.163605968371025,0.6003106812547279,14.928895151567996,0.4989651963200546,14.837241867225764,0.4883515775419798,15.146137315882411,0.5969259225718093,,
NGC 4636,Virgo,16.368165214278086,0.19598328475471413,16.5533453831103,0.6956956087916286,16.38431985081533,0.5639663381381091,16.538880472567424,0.555764232922296,16.60008826095886,0.6826758118369488,,
NGC 4649,Virgo,15.914756566438562,0.1832254061425527,16.46369967669567,0.7261275575950216,16.575784641111948,0.5390070790259628,16.708253570867438,0.5192303527262578,16.489494425407777,0.6609833897071119,15.856086267711438,0.9843413623275817
NGC 4697,Virgo,11.609138701261834,0.14969376640974424,11.557113564468764,0.5733574953528479,12.051201655119176,0.39900282850908764,12.094926812997379,0.38959593025726613,11.487294616481202,0.4719304920399597,,
