scenario,model,intercept,slope,sigma_int_mag,aicc,loo_bias_mag,loo_rmse_mag
Pr=0,constant,-3.2102517635604806,0.0,0.07966335627849144,-24.015795042499203,-0.0009768979928578756,0.09159486523543503
Pr=0,linear,-3.211912975398991,0.24056132223377977,0.07882237268644444,-20.88849464985864,-0.005415487536635106,0.09705885905248421
adopted Pr,constant,-3.2077944533561937,0.0,0.0805223379754809,-23.75404424117131,-0.0009846351192300976,0.09246896887446779
adopted Pr,linear,-3.209350316196978,0.22441935601030666,0.07978282814613309,-20.600239978594793,-0.005458956186872754,0.09810401026529583
2Pr,constant,-3.2053251948561106,0.0,0.08141781171221958,-23.48339824154508,-0.000991533365324569,0.09338117120916634
2Pr,linear,-3.206774136526976,0.20816589730163942,0.08077336889769095,-20.305371744666697,-0.005502638315067239,0.0991852057093286
special GCLF widths,constant,-3.2077543488263096,0.0,0.0804626196975769,-23.772433621688325,-0.0009852296595858384,0.09240660123098607
special GCLF widths,linear,-3.2093108743233376,0.22456896936474316,0.07972146314850215,-20.619029859978923,-0.005463117783609052,0.0980468936325457
