model,n,n_parameters,sigma_int_mag,aicc,loo_rmse_mag,coefficients
Постоянная абсолютная величина,14,2,0.08371856303276641,-22.832194891131106,0.09552468694088283,a=-3.1721
Квадратичная зависимость от ln(C/C₀),14,4,0.07341933410775867,-18.4825278279377,0.09763849047184994,a=-3.1444; b=0.42258; c=-6.2084
Кубический полином,14,5,0.07215338114091038,-13.88408625603855,0.0985064566498566,a=-3.1401; b=0.041579; c=-25.032; d=245.81
Квадратичная зависимость,14,4,0.07383741176234647,-18.343908281752384,0.09865800743094821,a=-3.1459; b=0.84899; c=-18.817
Логарифмическая зависимость,14,3,0.08069763906064348,-20.352338023141563,0.09887069388090472,a=-3.1751; b=0.30387
Линейная зависимость,14,3,0.08103297739478728,-20.25676695332199,0.09923749893671156,a=-3.1756; b=0.4984
Линейная модель с экспоненциальной кривизной,14,4,0.07662094337664005,-17.485567144649266,0.11116375127744454,a=-3.1572; b=1.0354; c=-0.033886
