galaxy,sum_psf_257_raw,sum_central_129_raw,fraction_129_within_257,missing_outside_129_percent,fitted_power_ratio_257_from_129,delta_mbar_mag,constant_offset
NGC 1380,0.9923836379693463,0.9855160226062587,0.9930796769512037,0.6920323048796306,0.9862190203771863,0.015066564628814155,-3.1793196972701328e-06
NGC 3379,0.992383475878618,0.9855158312357677,0.99307964631639,0.6920353683609992,0.9862191655256768,0.01506640483372169,-3.2239234090988524e-06
NGC 1399,0.9921948271798953,0.9845884465470753,0.9923337832203384,0.7666216779661617,0.9847426284587393,0.016693153820979283,-3.6839070974501068e-06
