slope,delta_fornax_mag
-1.1172149069725692,-0.2566254117185671
-0.8123813111361895,-0.1621150181932099
-0.43757541059729316,-0.10907240343874319
0.02353963639425235,-0.10314409739071541
-1.370647348926879,-0.14196959926071887
-1.383960705960916,-0.04514755393461183
-1.6316610595691694,-0.2116029341861315
-1.7684414169241707,-0.18280820960636013
-0.9420012574363357,-0.21845785143853627
-0.5983820862768037,-0.07878894223831676
-2.3503428411310963,-0.15792929779805628
-0.4238334270007402,-0.1361256523239785
-0.5727361250007467,-0.25262204184980025
-1.2014122083121175,-0.18693866428420228
-0.5681034565028729,-0.12993312800436566
-0.18212865823274316,-0.19444030760685163
-0.12666184211487932,-0.0026171586557110307
-1.5187723609822639,-0.16912826625887456
-0.19559538938485654,-0.13978597338373064
0.7719025604884738,-0.13522889385060913
-1.1440760920323492,-0.12035315361001091
-1.9279389086185235,-0.07632036373393322
-0.925977661842508,-0.24068345047006431
-0.07877354558074784,-0.12334572856184808
-1.840947053507495,-0.24718676439046045
-0.5323689322244225,-0.13403298447727652
-1.1878010141122488,-0.08997566632116245
-2.537267279140477,-0.10168209563957528
-0.565992461351353,-0.1694233008671369
0.17376436133320652,-0.07351806662937974
-0.582426232592882,-0.17366268188935374
-1.4429528382590169,-0.09714335378251047
-1.3357563200695537,-0.25915661407128027
-0.4116114363710289,-0.08260327057192116
-0.3982384071163443,-0.152052825129803
-2.3957068526580985,-0.14083999526375096
0.5780199460354677,0.004307500299200152
-0.23171661971768256,-0.14732821590079961
0.35563672859566,-0.20215182272320317
-1.5585090318656936,-0.17430747032710758
-0.8830284081029119,-0.1580840930604319
-0.7195585554121013,-0.1751666151318303
-1.6978604055343531,-0.21624281105283386
-0.6472196243656625,-0.17272727950278274
-1.1427250943670688,-0.22445287985960102
-0.32716956051783125,-0.1436659189121565
-2.8143333325376267,-0.12203234834823957
0.5800630437500902,0.027486573817086964
-0.9509342043011781,-0.13940277126060638
-1.0243830387568078,-0.24294823853906108
-0.1709546801626757,-0.08885356538296624
-0.3155741323379658,-0.18679724459670172
-0.9028872684649354,-0.07999388519741164
0.632571756380083,-0.09862396061419
-0.6073733918421262,-0.10671167198163854
-0.32881773371642814,-0.1570873625923063
-0.6519498967090669,-0.23132005064970046
0.22584860229912143,-0.1386202200520332
-1.236851555394741,-0.152134024776436
-3.2979392999354435,-0.419434796269904
-0.6550552124920707,-0.14350581277299082
-1.062270098790349,-0.14617902288706244
-2.7034949743964143,-0.08428870249169415
-0.08756382443429357,-0.16905676572737596
-1.2259977696197473,-0.17436168996980494
-0.2960016457392589,-0.22184571437203243
-0.4855522166422264,-0.16397789041964342
-2.947625205934222,-0.17509223939601534
-1.9730251682917366,-0.24077219312674522
-1.6502147797945868,-0.27358843632603075
0.5490862001543729,-0.10238600505880961
-0.8264121671548772,-0.11478707193458888
-0.33083258376187624,-0.08102629841934131
-2.389416709450911,-0.14071587824053428
-1.3202025706275569,-0.167610247087517
-0.6401598808235475,-0.18405994758087652
-0.5709353700977344,-0.22808492679175857
-0.8660233728585035,-0.1695733791530586
0.5682391207145838,-0.11755046360689063
-1.080128389462527,-0.2457964404454419
-2.110034453669749,-0.2787540847385831
-0.8738101421266535,-0.2126201651377768
-0.3069637502169802,-0.1549479342325048
-0.5738531200653981,-0.22292663402677737
-3.09498671915942,-0.2318209902974464
-1.1639359474222424,-0.1953768330787891
-1.0242268704812647,-0.12522746292579137
-0.5545172991282136,-0.1347203316816196
-0.4763328001858549,-0.21089130629278055
-0.3889889100171712,-0.1721131188619423
0.2815075366178554,-0.0684265012386059
-0.7629991955779167,-0.21032721291235465
-1.7361730732680025,-0.2385411337800151
-1.3295690518750616,-0.2149840190518734
-1.4047294661846408,-0.13486259954374896
-1.3632442629196817,-0.15615512517062877
-2.0927522188580467,-0.21477470812763474
0.11504283054731548,-0.017899114850188105
-0.6804945790353674,-0.2569000817061735
0.2408902571004593,-0.04035520597867585
-0.07085461569053919,-0.17071904203031263
1.5024530916163126,-0.11779686123056515
-0.9136564749561443,-0.1875822734832191
-0.5970519253881162,-0.1723479989228973
-0.6717781761288077,-0.035213095453690876
-2.5887100203671576,-0.3423639050849366
-0.9895189470919099,-0.17459673398792516
-1.7211998776844064,-0.13338967436164048
-0.5810811640526785,-0.19378724799148564
0.05328582557855779,-0.22611784369868315
-0.36227897738675585,-0.20261501708994042
-1.5326504772244316,-0.14217868204728687
-0.6729889932981109,-0.11069293234875764
-0.5480567193385054,-0.20958101100685494
-0.90132659307665,-0.20216366634662195
-0.40098043512467685,-0.2389995813806067
-1.3012694226983528,-0.17294924261408148
-0.2921915184108106,-0.1476618610300194
-1.0732699773150758,-0.18356716159091063
-0.2088158933119374,-0.0924266236759061
0.458331134634176,-0.08953332453839889
0.1446063006307842,-0.05122269640286661
-0.7672046559705887,-0.1361913366495499
0.8051393157491141,-0.10259249056139705
0.0955428926699773,-0.13393520788423716
-2.1241728810931293,-0.13083826887270233
-0.8881631020174617,-0.17195432106364625
-2.040459559520179,-0.17220520553024174
-0.4522144668588549,-0.2234163711309768
-2.291496775097599,-0.354746269574654
-1.5039953930981529,-0.1839204522624732
-0.269758859225809,-0.17989540002335994
-1.507483669151831,-0.10292510311000269
-1.6064650116568329,-0.27015117638841524
0.4796369557661051,-0.11480594938265919
-0.9895618003667349,-0.2428665212884857
-0.23879896709392368,-0.09744057644423366
-0.2519251155883327,-0.1638225929837604
-1.5019604507388253,-0.2544851831149966
0.8704930007676275,-0.012946417884612945
-1.092624134276954,-0.2291765441441337
-0.5071181744804651,-0.18459479232330417
-0.5702135795205809,-0.14317141534485522
-1.2580857043822764,-0.24539538733537283
-1.7420946933163928,-0.11900583209911712
-2.8269592990041477,-0.1167498849007644
-2.0449805804049617,-0.15403759406959747
-0.6179359421831424,-0.14650319947256396
-1.4815066864419497,-0.15506426866042755
-0.3633147944443839,-0.16711518839635375
-2.442125768376275,-0.14894649370154592
-0.6666174960928153,-0.09822034572757254
-0.736370963732449,-0.22579939979103786
-1.532658177769775,-0.1679738837294391
-1.4768161063721437,-0.1022330572011858
-0.059643175506051416,-0.12133998872118759
-0.8695818814539636,-0.05004831529981117
0.0618403777207114,-0.18941601032708175
-0.9450364190303697,-0.27538294470939717
0.363983175533279,-0.12982442191598983
-1.2398557226291187,-0.14416760020638333
0.24369916992515991,-0.05715203484404939
-1.806679951726287,-0.19873189836089578
-2.1514412034943913,-0.11957201851220138
-0.9813811182265494,-0.04432350408578664
-0.17561721700254584,-0.036535948192982566
-0.08892055980011035,-0.09971550268505977
-1.200581650941578,-0.1428385369708272
-1.3053361216048407,-0.04926616102733047
1.008276906844215,-0.14028575709426344
-0.3229970250304621,-0.15208587049711766
-0.2734176156528074,-0.13062143290193232
-1.335499582704626,-0.16224887785977338
-0.6909120477747663,-0.13918336762280165
0.48326154233042634,-0.014472604867585922
-0.9786344689154808,-0.1153396124693465
-0.3273863942644065,-0.14453384785892306
-0.4760723780676526,-0.20918224596651172
-0.8430883243684866,-0.1456663194858917
-0.6682330141218397,-0.2331043392478811
-1.5122991722198262,-0.294648404198688
-1.6346808581449022,-0.2476017416859087
