galaxy,mu_lit,mu_cluster,delta_mu_cluster_minus_paper4,Mbar_F150W_paper4,Mbar_F150W_cluster
NGC 1380,31.408,31.424,0.015999999999998238,-3.2971900938630156,-3.313190093863014
NGC 4697,30.324,30.33,0.005999999999996675,-3.215052405085956,-3.2210524050859526
NGC 1404,31.366,31.424,0.05799999999999983,-3.1596383391953644,-3.2176383391953642
NGC 4552,30.923,31.055,0.13200000000000145,-3.0474641649552083,-3.17946416495521
NGC 1399,31.498,31.424,-0.07400000000000162,-3.3180455492885734,-3.244045549288572
NGC 4636,31.07,31.055,-0.015000000000000568,-3.144349163539726,-3.1293491635397253
NGC 4649,31.009,31.055,0.045999999999999375,-3.048424032168551,-3.0944240321685506
NGC 4472,31.016,31.055,0.03900000000000148,-3.2526858707472,-3.2916858707472016
