sample,model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,color_error_column,use_extinction_covariance,bootstrap_success,intercept_p16,intercept_p50,intercept_p84,slope_p16,slope_p50,slope_p84,sigma_int_p16,sigma_int_p50,sigma_int_p84
all_14,linear,14,3,0.5674536233634047,-3.1756364305721845,0.498528385399289,,,0.08090458195062623,14.328099850388568,-22.656199700777137,-20.256199700777138,True,sigma_color_stat_mag,True,2000,-3.1974677163079366,-3.172725877926583,-3.148552340289759,-0.057500628632696664,0.47703850037395856,0.9932042213611697,0.0600114322458551,0.07462582439075602,0.08633920321941699
visual_clean_11,linear,11,3,0.5674536233634047,-3.1712490327511302,0.7471294282457495,,,0.08014654139441174,11.370149157073982,-16.740298314147964,-13.311726885576535,True,sigma_color_stat_mag,True,2000,-3.196024018622237,-3.165468370398915,-3.1336782489412727,-0.022310704046460624,0.7209260617118793,1.6022962874512698,0.052093157554431564,0.07155836849059355,0.08810410940722557
automatic_clean_10,linear,10,3,0.5674536233634047,-3.171168552992795,0.7501253688507982,,,0.0846173420634479,9.862175448003219,-13.724350896006438,-9.724350896006438,True,sigma_color_stat_mag,True,2000,-3.198047473150805,-3.164370862750766,-3.1238804755740732,-0.11986151324386674,0.7009874825847288,2.2574488479825856,0.05108887467020163,0.07410630809525426,0.09087740417719964
paper_iv_high_quality_9,linear,9,3,0.5674536233634047,-3.150012410772303,0.7133675531925218,,,0.07090192195307288,10.29182788102022,-14.58365576204044,-9.78365576204044,True,sigma_color_stat_mag,True,2000,-3.169864784338482,-3.1400019670747867,-3.10361568772251,-0.3982465456201311,0.6811017216626511,1.881811020231946,0.02961361279991047,0.054776192540816254,0.07493242996821832
