scenario,intercept,slope,sigma_int_mag,aicc,loo_bias_mag,loo_rmse_mag
No horizontal errors,-3.1755900932516137,0.498401542910668,0.08103303477625202,-20.25676695334077,-0.0046445988016213646,0.09923665883233987
Photometry + reddening (primary),-3.1756364305721845,0.498528385399289,0.08090458195062623,-20.256199700777138,-0.004597583730753791,0.09924149262031487
Primary + 0.01 mag floor,-3.1756367537756076,0.4985300186326825,0.08075079643098473,-20.256199700955644,-0.004597268564117891,0.09924054141172357
Half-ring difference proxy,-3.175669058114461,0.5222399110060709,0.08044519417433176,-20.292615066021934,-0.0050627121452068635,0.09960044789077907
