test,n,slope,delta_fornax_mag,sigma_int_mag,aicc,loo_rmse_mag,delta_aicc_vs_matching_common,bootstrap_delta_p16,bootstrap_delta_p50,bootstrap_delta_p84,bootstrap_slope_step_correlation,exact_permutation_p
Strict 10: общая прямая,10,0.6714787980716226,,0.07783098564849897,-10.045432804309282,0.10938262167888081,,,,,,
Strict 10: прямая + ступенька,10,-0.7924409017682161,-0.1672469719020109,0.058753031602919385,-8.360982060149379,0.10117657096137711,1.6844507441599035,-0.2338899419754709,-0.17311471048577093,-0.09650181667238487,0.6908954764422167,0.23333333333333334
Strict 10: ступенька + визуальный вес,10,-0.8491137682390637,-0.17246788524127896,0.058795597098718136,,0.10183239336157025,,,,,,
Broad 12: общая прямая,12,0.6619044252605782,,0.0704141857043698,-16.947614883809802,0.09626386216480062,,,,,,
Broad 12: прямая + ступенька,12,-0.18141223246122173,-0.12057320373263371,0.05567378064684981,-15.969851393011059,0.09711570728730397,0.9777634907987434,,,,,
