dataset,model,n,median_color_mag,intercept_mag,slope,sigma_int_mag,aicc,loo_bias_mag,loo_rmse_mag
Our F150W / F090W-F150W,constant,8,0.5694981263386333,-3.184697963886373,0.0,0.09222456357550418,-8.176956977348825,-0.0006634950352855107,0.11112904658004961
Our F150W / F090W-F150W,linear,8,0.5694981263386333,-3.1863131227531847,0.9596422756906164,0.08223908074170089,-4.073550563398953,-0.004134023342289517,0.1151699567348928
Paper III F110W / g-z,constant,8,1.3405,-2.693453403665151,0.0,0.06573287205369288,-7.966663312142034,0.0043731507884710585,0.11143959368658497
Paper III F110W / g-z,linear,8,1.3405,-2.684948394548334,1.885106148585849,4.286995329870224e-05,-11.94323023573848,-0.007645745920229707,0.0464717614578212
