galaxy,noise_log_slope_0p04_0p25,noise_high_to_low_power,inner_P1,outer_P1,both_P1_nonpositive
NGC 1380,-1.4991886893967337,0.18025381098218807,-0.0828708176959888,-0.0729218898070264,True
NGC 1399,-1.481555674309384,0.17595800117563928,-0.0558835316129947,-0.0511343064425766,True
NGC 1404,-1.4774849371578451,0.1731427014649321,-0.0767080124060867,-0.0674211153628277,True
NGC 1549,-1.563226524601908,0.1843734104629763,-0.0975242262205604,-0.0773931482413651,True
NGC 3379,-1.6186585349313867,0.15413003512260853,-0.2544234573839821,-0.1727688616560032,True
NGC 4374,-1.404765484298905,0.1746710576659532,-0.091297999566109,-0.0793363760507032,True
NGC 4406,-1.4625999014550162,0.1680870143489335,-0.102812878832629,-0.0876684993286945,True
NGC 4472,-1.3884481224791818,0.20421585424491986,-0.1121985471546858,-0.1084951853978952,True
NGC 4486,-1.3224064938248907,0.20981326444680562,-0.1021969467124908,-0.093240593636888,True
NGC 4552,-1.438962963408805,0.1801015812849994,-0.1061460363199768,-0.0813080215489509,True
NGC 4621,-1.4309826045234493,0.17370632579707967,-0.1274631362830853,-0.098126044838986,True
NGC 4636,-1.404147038300666,0.18618670237144688,-0.0988728618100559,-0.0832952289631599,True
NGC 4649,-1.3673277749719739,0.192301414768834,-0.0989315050067078,-0.090079780256974,True
NGC 4697,-1.5647873919786914,0.13306673050053952,-0.2127648092303567,-0.1681917841336039,True
