method,sample,n,bias_mpc,rmse_mpc,median_abs_mpc,median_abs_fraction_percent
Jensen 2015 F160W,5 общих с Jensen,5,0.5212336222304479,0.6851722666445833,0.36406100356391136,1.82630859045749
SBF F150W: Прямая,5 общих с Jensen,5,-0.35564105888733194,0.8973373582167912,0.8728157813481161,5.4666666261959245
SBF F150W: Парабола,5 общих с Jensen,5,-0.3090997303956463,0.9263559498488146,0.8125205248267697,5.089022140856695
SBF F150W: Ломаная при C₀,5 общих с Jensen,5,-0.26917397456649683,0.9531022069117541,0.7381982082439436,4.6235226204225475
SBF F150W: Без зависимости от цвета,5 общих с Jensen,5,-0.35702628751053106,0.9551323244831302,1.0854577212361818,5.726470262350438
SBF F150W: Ломаная при C₀,все 14,14,0.05119002569130896,0.6804415298726215,0.34970192536007794,2.7108253741667387
SBF F150W: Парабола,все 14,14,0.0598415979468586,0.6998520081974721,0.5485933660861715,3.496026228917229
SBF F150W: Прямая,все 14,14,0.003804264396585718,0.7196742804562397,0.6581922615948894,4.2382967892577765
SBF F150W: Без зависимости от цвета,все 14,14,0.0243286328001387,0.7357721982308228,0.5823848810227146,3.469689210020531
