model,description,n_parameters,aicc,sigma_int,intercept,slope,curvature,slope_change,loo_bias_mag,loo_rmse_mag,loo_wrms_mag,loo_median_abs_mag,delta_aicc_vs_linear
broken,Ломаная при C₀,4,-20.05453741459182,0.060978604389476776,-3.121051861647006,2.242259270134392,,-2.991482041456435,0.014252995622517568,0.09144095719451327,0.12087427274007688,0.058067276225573394,1.0599708496832925
quadratic,Парабола,4,-19.38874912942277,0.06309560644698929,-3.1416840691843078,0.7413981969597033,-17.44107705718698,,0.015329057407938456,0.09437186209191077,0.10883478186252339,0.07608214137317404,1.7257591348523427
constant,Без зависимости от цвета,2,-22.829459247823305,0.07561491343654211,-3.169719242390653,0.0,,,0.010096817871001917,0.09844001887550025,0.09943928354896814,0.07668177426925737,-1.7149509835481922
linear,Прямая,3,-21.114508264275113,0.0694686346359207,-3.172555617930429,0.6655983135336685,,,0.0077400233773547355,0.09873909836062586,0.09855069037477594,0.09188893445462831,0.0
