sample,model,n,n_parameters,color_center,intercept,slope,curvature,slope_change,sigma_int,log_likelihood,aic,aicc,use_color_errors,bootstrap_success,intercept_p16,intercept_p50,intercept_p84,slope_p16,slope_p50,slope_p84,sigma_int_p16,sigma_int_p50,sigma_int_p84
all_14,linear,14,3,0.5907392571166834,-3.172555617930429,0.6655983135336685,,,0.0694686346359207,14.757254132137556,-23.51450826427511,-21.114508264275113,False,2000,-3.192513914788204,-3.1700939256937626,-3.1471099105312708,0.19011600127305683,0.6400938981586733,1.0887774446918619,0.046636687096493414,0.06260991241927037,0.07624768799177158
good_coverage,linear,12,3,0.5907392571166834,-3.1613224674261065,0.29751682998503476,,,0.07291331700750746,12.290297424899487,-18.580594849798974,-15.580594849798974,False,2000,-3.18555491565461,-3.1580151686069025,-3.13057929594675,-0.3917483112007412,0.28923075597454684,0.8826157029017367,0.041843582837158555,0.06432054094234144,0.08121474114551473
residual_clean,linear,10,3,0.5907392571166834,-3.1602750801708686,1.065292278448883,,,0.07336458774319554,10.177444901419273,-14.354889802838546,-10.354889802838546,False,1999,-3.188689240233581,-3.1534719740268193,-3.1127211700248547,0.32352007391521237,1.0481769003778967,2.3925827365373147,0.03830100423446867,0.06290178005471878,0.08064664825901491
