annulus,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_intercept,ols_slope,ols_slope_stderr
inner,8,0.7764092110775013,0.023468245417328063,0.7142857142857144,0.04652823228416724,-1.0037863517599401,0.824897985487861,0.2733583856994517
outer,8,0.3296129485564609,0.4252801037198381,0.3333333333333334,0.4197530864197531,-2.360605354957068,0.3098962728761081,0.3623780554129155
