model,galaxy,environment,mu_trgb,sigma_mu_trgb,mu_sbf_loo,sigma_mu_sbf_internal,delta_mu_sbf_minus_trgb
constant,NGC 1380,Fornax,31.408,0.025,31.272960825133516,0.08061369986315924,-0.13503917486648476
constant,NGC 1399,Fornax,31.498,0.026,31.34096067989299,0.08007656967310198,-0.15703932010701038
constant,NGC 1404,Fornax,31.366,0.025,31.379536572694178,0.08840131504779697,0.013536572694178517
constant,NGC 1549,Other,31.231,0.026,31.15188957315658,0.08563493638081171,-0.07911042684342107
constant,NGC 3379,Other,30.078,0.028,30.224632076511064,0.07897461478019402,0.14663207651106447
constant,NGC 4374,Virgo,31.112,0.027,31.138695483566732,0.08878667304452578,0.026695483566733458
constant,NGC 4406,Virgo,31.096,0.025,31.03054346061655,0.08733533252132412,-0.06545653938345097
constant,NGC 4472,Virgo,31.016,0.027,30.92942930625816,0.08747674944604684,-0.08657069374183735
constant,NGC 4486,Virgo,31.046,0.025,31.05061298635443,0.09915220501253345,0.004612986354430859
constant,NGC 4552,Virgo,30.923,0.028,31.057418167906146,0.08086112773918168,0.1344181679061478
constant,NGC 4621,Virgo,30.821,0.026,30.895079409575136,0.08611252732494791,0.07407940957513404
constant,NGC 4636,Virgo,31.07,0.026,31.09998540617338,0.08894794804369953,0.02998540617338108
constant,NGC 4649,Virgo,31.009,0.025,31.142447287744165,0.08141115986362979,0.1334472877441648
constant,NGC 4697,Virgo,30.324,0.028,30.2778086905853,0.08805467072067115,-0.046191309414702175
linear,NGC 1380,Fornax,31.408,0.025,31.282657929986147,0.0803744403317266,-0.1253420700138541
linear,NGC 1399,Fornax,31.498,0.026,31.343334939989376,0.07712720165328676,-0.1546650600106254
linear,NGC 1404,Fornax,31.366,0.025,31.388091028506167,0.0854470220590315,0.02209102850616773
linear,NGC 1549,Other,31.231,0.026,31.16915096435973,0.08400669354450539,-0.061849035640271666
linear,NGC 3379,Other,30.078,0.028,30.236053535634955,0.07409968509357734,0.15805353563495572
linear,NGC 4374,Virgo,31.112,0.027,31.143643941964882,0.0858505377739585,0.03164394196488374
linear,NGC 4406,Virgo,31.096,0.025,31.000300063677305,0.0823646354898231,-0.09569993632269558
linear,NGC 4472,Virgo,31.016,0.027,30.887864035479872,0.08137099658621114,-0.12813596452012632
linear,NGC 4486,Virgo,31.046,0.025,30.99906421490807,0.09612188861762425,-0.04693578509192875
linear,NGC 4552,Virgo,30.923,0.028,31.060221745633235,0.07740778619417825,0.1372217456332372
linear,NGC 4621,Virgo,30.821,0.026,30.900278785296514,0.0828454415055903,0.07927878529651267
linear,NGC 4636,Virgo,31.07,0.026,31.084616836179517,0.08644155930610598,0.014616836179516923
linear,NGC 4649,Virgo,31.009,0.025,31.129861345004297,0.0807562731103575,0.1208613450042968
linear,NGC 4697,Virgo,30.324,0.028,30.30849446114938,0.08605227405626512,-0.015505538850622003
quadratic,NGC 1380,Fornax,31.408,0.025,31.331357000192416,0.07734068336744551,-0.07664299980758571
quadratic,NGC 1399,Fornax,31.498,0.026,31.297783863631345,0.06155999410462048,-0.2002161363686561
quadratic,NGC 1404,Fornax,31.366,0.025,31.361773503530717,0.07854412033267189,-0.004226496469282637
quadratic,NGC 1549,Other,31.231,0.026,31.17515257920448,0.07696786484801477,-0.05584742079552285
quadratic,NGC 3379,Other,30.078,0.028,30.21597296450353,0.0694718791719775,0.13797296450352903
quadratic,NGC 4374,Virgo,31.112,0.027,31.113212812940986,0.07916719654206804,0.0012128129409880728
quadratic,NGC 4406,Virgo,31.096,0.025,30.99768988959451,0.07486706829754965,-0.09831011040548887
quadratic,NGC 4472,Virgo,31.016,0.027,30.90068948240943,0.07557637419459999,-0.11531051759056865
quadratic,NGC 4486,Virgo,31.046,0.025,31.140610031376173,0.08926741031368457,0.09461003137617396
quadratic,NGC 4552,Virgo,30.923,0.028,31.035624915958344,0.07303295026833409,0.1126249159583459
quadratic,NGC 4621,Virgo,30.821,0.026,30.87291702820785,0.07730981409616537,0.051917028207849825
quadratic,NGC 4636,Virgo,31.07,0.026,31.06662192840471,0.07949596300278518,-0.003378071595289356
quadratic,NGC 4649,Virgo,31.009,0.025,31.14294064721227,0.07081107661208919,0.1339406472122704
quadratic,NGC 4697,Virgo,30.324,0.028,30.381775337928374,0.07782441953567419,0.05777533792837275
broken,NGC 1380,Fornax,31.408,0.025,31.33953942451231,0.07639612614457304,-0.06846057548769124
broken,NGC 1399,Fornax,31.498,0.026,31.276587180645244,0.05646960950914131,-0.22141281935475732
broken,NGC 1404,Fornax,31.366,0.025,31.356786113772166,0.07737981043066786,-0.009213886227833257
broken,NGC 1549,Other,31.231,0.026,31.187483388925852,0.07646400865254553,-0.043516611074149836
broken,NGC 3379,Other,30.078,0.028,30.21408059121911,0.06864756528039517,0.13608059121910898
broken,NGC 4374,Virgo,31.112,0.027,31.10000577874447,0.077942491095892,-0.011994221255527293
broken,NGC 4406,Virgo,31.096,0.025,31.012839291659567,0.0750442666565012,-0.08316070834043288
broken,NGC 4472,Virgo,31.016,0.027,30.910066940735287,0.0752905083758456,-0.10593305926471075
broken,NGC 4486,Virgo,31.046,0.025,31.07403741090376,0.08937761560862537,0.028037410903760218
broken,NGC 4552,Virgo,30.923,0.028,31.027930080426344,0.07275195677794422,0.104930080426346
broken,NGC 4621,Virgo,30.821,0.026,30.861974569467645,0.07664674081976014,0.04097456946764311
broken,NGC 4636,Virgo,31.07,0.026,31.083006017238027,0.07835153472359678,0.013006017238026857
broken,NGC 4649,Virgo,31.009,0.025,31.1589059152765,0.0677089891983828,0.14990591527649855
broken,NGC 4697,Virgo,30.324,0.028,30.38897449793573,0.0765561068641595,0.0649744979357294
