distance_anchor,model,n,intercept,slope,sigma_int_mag,aicc,loo_rmse_vs_anchor_mag,loo_rmse_vs_individual_thin_mag
Paper IV thin (primary),constant,14,-3.1721473807152525,0.0,0.08371857106843926,-22.832194891122604,0.09552468132003214,0.09552468132003214
Paper IV thin (primary),linear,14,-3.175636433416012,0.49852852214956606,0.08090458175579121,-20.25619970078183,0.09924149574582064,0.09924149574582064
Paper IV thick (sensitivity),constant,14,-3.1663014528319096,0.0,0.08336320582014779,-22.871581071079454,0.09528402863707407,0.0956461897933587
Paper IV thick (sensitivity),linear,14,-3.1704862252746704,0.5975784835207962,0.07927875370218652,-20.627514562824125,0.09878616943620937,0.09997325755699209
Paper III cluster means,constant,14,-3.1962723934082393,0.0,0.06803999379791434,-22.51358329482435,0.09305786987134532,0.09795917702847891
Paper III cluster means,linear,14,-3.1942549079644857,0.5700823830113305,0.06487110552019242,-20.03469964463952,0.09366006036107895,0.09699301109380858
