quantity,standard_deviation,p16,p50,p84
intercept,0.02422588416708416,-3.1968225419354304,-3.1727173829138486,-3.148973235762159
sigma_int,0.012591435807986669,0.06754029864164025,0.0799150463075976,0.09210789581612483
