rank,galaxy,environment,Mbar_F150W_paper4,Mbar_F110W_individual,sbf_sbf_mapping_residual,abs_sbf_sbf_mapping_residual,fluctuation_color_F110W_minus_F150W,visual_score,residual_structure_score,abs_annulus_delta_mag,winsor_changed_percent,psf_position_span_mag,noise_log_slope_0p04_0p25,minimum_usable_fraction
1,NGC 1399,Fornax,-3.3180455492885734,-2.6580000000000013,-0.13535623352068638,0.13535623352068638,0.6600455492885722,9.5,0.05022057948055487,0.0185383689137701,1.3524222684379699,0.005737819507730198,-1.481555674309384,0.8925996894016885
2,NGC 4552,Virgo,-3.0474641649552083,-2.6129999999999995,0.11122317152461192,0.11122317152461192,0.4344641649552088,9.0,0.20498858762564653,0.0857909279022948,1.849568740207571,0.004477787184046133,-1.438962963408805,0.780774437709609
3,NGC 4472,Virgo,-3.2526858707472,-2.5859999999999985,-0.10839972184021995,0.10839972184021995,0.6666858707472016,4.0,1.6116068291224372,0.0393793761255665,1.2642765633539996,0.004416630002593414,-1.3884481224791818,0.8556760386571531
4,NGC 4636,Virgo,-3.144349163539726,-2.710000000000001,0.06607577273881504,0.06607577273881504,0.43434916353972497,6.0,0.9696590736923685,0.021952867241513,1.6340334495996283,0.00487751074457492,-1.404147038300666,0.744552645769853
5,NGC 4697,Virgo,-3.215052405085956,-2.804000000000002,0.04550999903876751,0.04550999903876751,0.41105240508595386,6.0,0.40430716540970535,0.1139310820294596,1.2055117011553032,0.004477787184046133,-1.5647873919786914,0.636131131400617
6,NGC 4649,Virgo,-3.048424032168551,-2.4890000000000008,0.0441245169397102,0.0441245169397102,0.5594240321685504,5.0,1.4004875161501358,0.1186952266458583,3.7084315689952394,0.004477787184046133,-1.3673277749719739,0.841700985965112
7,NGC 1380,Fornax,-3.2971900938630156,-2.808,-0.03449418046824304,0.03449418046824304,0.4891900938630158,7.0,0.3981046010298823,0.0458423617001102,1.1629075023869502,0.004240279734670002,-1.4991886893967337,0.7462980529916778
8,NGC 1404,Fornax,-3.1596383391953644,-2.6359999999999992,0.011316675587244918,0.011316675587244918,0.5236383391953652,8.0,0.12018680565445697,0.0261401927155837,1.8441697198913822,0.004240279734670002,-1.4774849371578451,0.8913488950360192
