distance_variant,delta_fornax_mag,slope,delta_aicc_step_minus_common,loo_rmse_common_mag,loo_rmse_step_mag
Paper IV thin (основной),-0.15747392958053785,-1.0504103834271605,0.5927328031597163,0.10986784198926089,0.09625540784505188
Paper IV thick (проверка),-0.14135339250579995,-0.8900417544902385,1.5076492875979426,0.1083108019390029,0.09711843525917638
