summary,signal_filter,color_filter,color_name,sampling_mode,color_index,sigma_proxy,notes
SBF-weighted circular-annuli color,F150W,F115W,F115W-F150W,wcs_bilinear,0.10965311196325198,0.057212952049908186,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,F150W,F115W,F115W-F150W,wcs_bilinear,0.06377065498409577,0.08091133273238173,simple annulus-matched diagnostic color summary
