galaxy,color_F090W_F150W,mbar_150,mu_lit,mu_sbf_loo,mu_residual_loo,sigma_mu_residual_loo,Mbar_pred_loo,sigma_Mbar_pred_loo,intercept_loo,slope_loo
NGC 1380,0.4128764525855525,27.887066663992847,31.408,31.319613732492616,-0.08838626750738499,0.04832279272948168,-3.4325470684997677,0.015718946209647516,-3.4482706469519795,1.2211110434137602
NGC 1399,0.4379951764684919,28.12486539458426,31.498,31.538419953616145,0.040419953616144255,0.10252175618338097,-3.4135545590318874,0.017719413758964023,-3.4579133483749875,1.1674847563844182
NGC 1404,0.476706192019932,28.004211864812287,31.366,31.37273472150894,0.006734721508941277,0.05397100255918358,-3.3685228566966536,0.02727214436077352,-3.457777244929004,1.1635877871392424
NGC 4374,0.4209766117484163,27.698255826347992,31.112,31.134944364583205,0.022944364583207033,0.0397309529774456,-3.436688538235215,0.01723761590289539,-3.4608238370307047,1.1505813753411314
NGC 4406,0.3059175731995949,27.487488983535293,31.096,31.004507654682094,-0.0914923453179064,0.047298268902760315,-3.5170186711468014,0.035215894833743634,-3.4422051040035586,0.7951917237632404
NGC 4472,0.4051868436195047,27.512608378685663,31.016,30.957547336742863,-0.058452663257135384,0.047449804481605656,-3.4449389580571985,0.015211765096762156,-3.451143264691217,1.1961622692243026
NGC 4486,0.4633101476484701,27.599748087837057,31.046,30.969646356295144,-0.07635364370485576,0.05709763604528875,-3.369898268458086,0.023254927923515484,-3.4506221902228136,1.2750550229790605
NGC 4552,0.4579852664671481,27.618028064201024,30.923,31.030170822443228,0.10717082244322995,0.04938194905937049,-3.4121427582422053,0.023032442694003393,-3.469777072771766,0.9939475670464315
NGC 4636,0.3106152043717528,27.54826834900649,31.07,31.120155586662484,0.0501555866624841,0.05749494484190867,-3.571887237655992,0.02525362267535516,-3.4601272995333185,1.2503238088442314
NGC 4649,0.3262495967514945,27.56937999274304,31.009,31.13720532901217,0.12820532901216808,0.05151120494230627,-3.5678253362691255,0.0222910276691056,-3.4671804249449507,1.3646693020110958
