galaxy,aliases,source_class,source_articles,mention_count,mast_query_status,mast_error,jwst_obs_count,jwst_nircam_obs_count,jwst_filters,jwst_programs,has_public_nircam_f150w,has_public_nircam_f090w,recommended_for_sbf_extension,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls
NGC 4374,M84,article_mentioned,TRGB-SBF Project II target set;TRGB-SBF-IV;previous_curated_table,2,ok,,6,6,F090W;F115W;F150W;F277W;F356W,3055;7763,True,True,True,jw03055-o004_t004_nircam_clear-f150w,jw03055-o004_t004_nircam_clear-f090w,mast:JWST/product/jw03055-o004_t004_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o004_t004_nircam_clear-f090w_i2d.fits
NGC 4382,,fallback_early_type_seed,,0,ok,,0,0,,,False,False,False,,,,
NGC 4406,M86,article_mentioned,TRGB-SBF Project II target set;TRGB-SBF-IV;previous_curated_table,6,ok,,8,8,F090W;F115W;F277W;F150W;F277W;F356W,3055;7763,True,True,True,jw03055-o005_t005_nircam_clear-f150w,jw03055-o005_t005_nircam_clear-f090w,mast:JWST/product/jw03055-o005_t005_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o005_t005_nircam_clear-f090w_i2d.fits
NGC 4457,,article_mentioned,TRGB-SBF pilot early-type SN Ia host paper;previous_curated_table,0,ok,,6,4,F150W;F187N;F300M;F335M,3707,True,False,False,jw03707-o066_t032_nircam_clear-f150w,,mast:JWST/product/jw03707-o066_t032_nircam_clear-f150w_i2d.fits,
NGC 4458,,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;previous_curated_table,7,ok,,16,16,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4459,,fallback_early_type_seed,,0,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4472,M49,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;TRGB-SBF Project II;TRGB-SBF-IV;previous_curated_table,7,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o006_t006_nircam_clear-f150w,jw03055-o006_t006_nircam_clear-f090w,mast:JWST/product/jw03055-o006_t006_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o006_t006_nircam_clear-f090w_i2d.fits
NGC 4473,,fallback_early_type_seed,,0,ok,,3,3,F115W;F150W;F277W,7763,True,False,False,jw07763-o004_t004_nircam_clear-f150w,,mast:JWST/product/jw07763-o004_t004_nircam_clear-f150w_i2d.fits,
NGC 4486,M87,article_mentioned,Blakeslee2021;Blakeslee2021 Table4;TRGB-SBF Project II;TRGB-SBF-IV;previous_curated_table,12,ok,,52,10,F070W;F090W;F115W;F277W;F150W;F277W;F356W;F444W,3055;7763;9226,True,True,True,jw03055-o007_t007_nircam_clear-f150w,jw03055-o007_t007_nircam_clear-f090w,mast:JWST/product/jw03055-o007_t007_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o007_t007_nircam_clear-f090w_i2d.fits
NGC 4489,,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;previous_curated_table,5,ok,,0,0,,,False,False,False,,,,
