model,degree,n_fit,n_params,Mbar_at_0p40,slope,quadratic,chi2_red,aic,bic,sigma_int_for_chi2red_1,chi2_red_with_sigma_int,in_sample_wrms,loo_wrms,loo_plain_rms
constant,0,10,1,-3.4673542364581373,,,5.0780719911083425,47.702647919975085,48.00523301296913,0.07915165129241282,1.0,0.09516149536409806,0.10179812286704969,0.10409442344409871
linear,1,10,2,-3.4570488454935973,1.1765103345284302,,2.1599200929560682,21.279360743648546,21.88453092963664,0.04754785640072,1.0,0.05851327579018695,0.07766475483858568,0.08021170972250039
quadratic,2,10,3,-3.4675748391055627,1.2681364438600156,2.732737977389206,2.4315899869776096,23.021129908843267,23.928885187825404,0.05215596862482286,0.9999999999999959,0.05807440508897623,0.0882991167562095,0.08999791087201929
