target_name,proposal_id,target_classification,proposal_pi,obs_title,dataurls_F090W,dataurls_F150W,obsids_F090W,obsids_F150W
UDS-1-TILE-23,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o009_t011_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o009_t011_nircam_clear-f150w_i2d.fits,jw01837-o009_t011_nircam_clear-f090w,jw01837-o009_t011_nircam_clear-f150w
UDS-1-TILE-9,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o021_t023_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o021_t023_nircam_clear-f150w_i2d.fits,jw01837-o021_t023_nircam_clear-f090w,jw01837-o021_t023_nircam_clear-f150w
UDS-2,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-c1001_t000_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01837-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-c1001_t000_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01837-o002_t002_nircam_clear-f150w_i2d.fits,jw01837-c1001_t000_nircam_clear-f090w;jw01837-o002_t002_nircam_clear-f090w,jw01837-c1001_t000_nircam_clear-f150w;jw01837-o002_t002_nircam_clear-f150w
UDS-2-TILE-22,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o022_t024_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o022_t024_nircam_clear-f150w_i2d.fits,jw01837-o022_t024_nircam_clear-f090w,jw01837-o022_t024_nircam_clear-f150w
UDS-2-TILE-6,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o014_t016_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o014_t016_nircam_clear-f150w_i2d.fits,jw01837-o014_t016_nircam_clear-f090w,jw01837-o014_t016_nircam_clear-f150w
UDS-2-TILE-7,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o023_t025_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o023_t025_nircam_clear-f150w_i2d.fits,jw01837-o023_t025_nircam_clear-f090w,jw01837-o023_t025_nircam_clear-f150w
UDS-2-Tile-10,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o035_t039_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o035_t039_nircam_clear-f150w_i2d.fits,jw01837-o035_t039_nircam_clear-f090w,jw01837-o035_t039_nircam_clear-f150w
UDS-2-Tile-22-Copy,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o033_t037_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o033_t037_nircam_clear-f150w_i2d.fits,jw01837-o033_t037_nircam_clear-f090w,jw01837-o033_t037_nircam_clear-f150w
UDS-2-Tile-6-Copy,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o031_t035_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o031_t035_nircam_clear-f150w_i2d.fits,jw01837-o031_t035_nircam_clear-f090w,jw01837-o031_t035_nircam_clear-f150w
UDS-2-Tile-7-Copy,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o032_t036_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o032_t036_nircam_clear-f150w_i2d.fits,jw01837-o032_t036_nircam_clear-f090w,jw01837-o032_t036_nircam_clear-f150w
UDS-2-Tile-8,1837,Galaxy; Emission line galaxies; High-redshift galaxies,"Dunlop, James S.",PRIMER: Public Release IMaging for Extragalactic Research,mast:JWST/product/jw01837-o034_t038_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01837-o034_t038_nircam_clear-f150w_i2d.fits,jw01837-o034_t038_nircam_clear-f090w,jw01837-o034_t038_nircam_clear-f150w
ULASJ1120+0641-host,2774,Galaxy; Active galactic nuclei; Quasars,"Rieke, George",The Environment of ULAS J1120+0641,mast:JWST/product/jw02774-o001_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02774-o001_t002_nircam_clear-f150w_i2d.fits,jw02774-o001_t002_nircam_clear-f090w,jw02774-o001_t002_nircam_clear-f150w
UVISTA-J-1212,6480,Galaxy; High-redshift galaxies,"Schouws, Sander",Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o023_t023_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06480-o023_t023_nircam_clear-f150w_i2d.fits,jw06480-o023_t023_nircam_clear-f090w,jw06480-o023_t023_nircam_clear-f150w
UVISTA-Y-001,6480,Galaxy; High-redshift galaxies,"Schouws, Sander",Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o024_t024_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06480-o024_t024_nircam_clear-f150w_i2d.fits,jw06480-o024_t024_nircam_clear-f090w,jw06480-o024_t024_nircam_clear-f150w
UVISTA-Y-002,6480,Galaxy; High-redshift galaxies,"Schouws, Sander",Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o025_t025_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06480-o025_t025_nircam_clear-f150w_i2d.fits,jw06480-o025_t025_nircam_clear-f090w,jw06480-o025_t025_nircam_clear-f150w
UVISTA-Y-003,6480,Galaxy; High-redshift galaxies,"Schouws, Sander",Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o019_t019_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06480-o019_t019_nircam_clear-f150w_i2d.fits,jw06480-o019_t019_nircam_clear-f090w,jw06480-o019_t019_nircam_clear-f150w
UVISTA-Y-879,6480,Galaxy; High-redshift galaxies,"Schouws, Sander",Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o022_t022_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06480-o022_t022_nircam_clear-f150w_i2d.fits,jw06480-o022_t022_nircam_clear-f090w,jw06480-o022_t022_nircam_clear-f150w
VV-191,1176,Galaxy; Elliptical galaxies; Spiral arms; Spiral galaxies,"Windhorst, Rogier A.",JWST Medium-Deep Fields -- Windhorst IDS GTO Program,mast:JWST/product/jw01176-o341_t005_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01176-o341_t005_nircam_clear-f150w_i2d.fits,jw01176-o341_t005_nircam_clear-f090w,jw01176-o341_t005_nircam_clear-f150w
WFC3-ERS-FIELD,1176,Galaxy; Field galaxies; High-redshift galaxies; Lyman-break galaxies,"Windhorst, Rogier A.",JWST Medium-Deep Fields -- Windhorst IDS GTO Program,mast:JWST/product/jw01176-o131_t016_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01176-o131_t016_nircam_clear-f150w_i2d.fits,jw01176-o131_t016_nircam_clear-f090w,jw01176-o131_t016_nircam_clear-f150w
WLM,1334,Galaxy; Dwarf galaxies; Dwarf irregular galaxies,"Weisz, Daniel R.",The Resolved Stellar Populations Early Release Science Program,mast:JWST/product/jw01334-o005_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01334-o005_t002_nircam_clear-f150w_i2d.fits,jw01334-o005_t002_nircam_clear-f090w,jw01334-o005_t002_nircam_clear-f150w
XMM3-Z-110958,6480,Galaxy; High-redshift galaxies,"Schouws, Sander",Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o020_t020_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw06480-o020_t020_nircam_clear-f150w_i2d.fits,jw06480-o020_t020_nircam_clear-f090w,jw06480-o020_t020_nircam_clear-f150w
