target_name,proposal_id,target_classification,proposal_pi,obs_title,dataurls_F090W,dataurls_F150W,obsids_F090W,obsids_F150W
N4258,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o005_t003_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o006_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o005_t003_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o006_t003_nircam_clear-f150w_i2d.fits,jw01685-o005_t003_nircam_clear-f090w;jw01685-o006_t003_nircam_clear-f090w,jw01685-o005_t003_nircam_clear-f150w;jw01685-o006_t003_nircam_clear-f150w
N5468,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o007_t004_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o008_t004_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o007_t004_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o008_t004_nircam_clear-f150w_i2d.fits,jw01685-o007_t004_nircam_clear-f090w;jw01685-o008_t004_nircam_clear-f090w,jw01685-o007_t004_nircam_clear-f150w;jw01685-o008_t004_nircam_clear-f150w
N5584,1685,Galaxy; Spiral arms,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o009_t005_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o010_t005_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o009_t005_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o010_t005_nircam_clear-f150w_i2d.fits,jw01685-o009_t005_nircam_clear-f090w;jw01685-o010_t005_nircam_clear-f090w,jw01685-o009_t005_nircam_clear-f150w;jw01685-o010_t005_nircam_clear-f150w
N5643,1685,Galaxy; Spiral galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o011_t006_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o011_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f150w_i2d.fits,jw01685-o011_t006_nircam_clear-f090w;jw01685-o012_t006_nircam_clear-f090w,jw01685-o011_t006_nircam_clear-f150w;jw01685-o012_t006_nircam_clear-f150w
NAME-CARTWHEEL,2727,Galaxy; Interacting galaxies,"Pontoppidan, Klaus M.",JWST Early Release Observation 1,mast:JWST/product/jw02727-o002_t062_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw02727-o002_t062_nircam_clear-f150w_i2d.fits,jw02727-o002_t062_nircam_clear-f090w,jw02727-o002_t062_nircam_clear-f150w
NGC-1380,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o001_t001_nircam_clear-f150w_i2d.fits,jw03055-o001_t001_nircam_clear-f090w,jw03055-o001_t001_nircam_clear-f150w
NGC-1399,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o002_t002_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o002_t002_nircam_clear-f150w_i2d.fits,jw03055-o002_t002_nircam_clear-f090w,jw03055-o002_t002_nircam_clear-f150w
NGC-1404,3055,Galaxy; Elliptical galaxies,"Tully, R. Brent",A TRGB calibration of Surface Brightness Fluctuations,mast:JWST/product/jw03055-o003_t003_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw03055-o003_t003_nircam_clear-f150w_i2d.fits,jw03055-o003_t003_nircam_clear-f090w,jw03055-o003_t003_nircam_clear-f150w
NGC-1448,1685,Galaxy; Field galaxies,"Riess, Adam",Uncrowding the Cepheids for an Improved Determination of the Hubble Constant,mast:JWST/product/jw01685-o013_t008_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o014_t008_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw01685-o013_t008_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o014_t008_nircam_clear-f150w_i2d.fits,jw01685-o013_t008_nircam_clear-f090w;jw01685-o014_t008_nircam_clear-f090w,jw01685-o013_t008_nircam_clear-f150w;jw01685-o014_t008_nircam_clear-f150w
NGC-147,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,mast:JWST/product/jw04783-o001_t001_nircam_clear-f090w_i2d.fits,mast:JWST/product/jw04783-o001_t001_nircam_clear-f150w_i2d.fits,jw04783-o001_t001_nircam_clear-f090w,jw04783-o001_t001_nircam_clear-f150w
