sample,n,weighted_mean_delta_mu,weighted_rms_delta_mu,plain_rms_delta_mu,median_abs_distance_fraction_percent
clean,10,0.0007683476621357289,0.05939802953252786,0.06310946147562477,2.133940909680898
all,14,0.007202362986639296,0.0639756222174021,0.06677259486733492,2.638304290661131
