model,degree,galaxy,mu_residual_loo,sigma_mu_residual_loo
constant,0,NGC 1380,-0.05919664064867547,0.0925846077975228
constant,0,NGC 1399,0.09608680097679212,0.12908829356492738
constant,0,NGC 1404,0.11617887469465771,0.09301691831083082
constant,0,NGC 4374,0.06341604513086452,0.08820875454761366
constant,0,NGC 4406,-0.17617002765130962,0.0866558923102842
constant,0,NGC 4472,-0.03995660684059388,0.09222127295202076
constant,0,NGC 4486,0.02276077822778433,0.0959064582247769
constant,0,NGC 4552,0.18119881304455276,0.09161971401174493
constant,0,NGC 4636,-0.05873997633857897,0.09563967705892529
constant,0,NGC 4649,0.030540324767287075,0.09294993363260687
linear,1,NGC 1380,-0.08838626750738499,0.06779300071157743
linear,1,NGC 1399,0.040419953616144255,0.11301110184060725
linear,1,NGC 1404,0.006734721508941277,0.07192821258412369
linear,1,NGC 4374,0.022944364583207033,0.061962466645538596
linear,1,NGC 4406,-0.0914923453179064,0.06706657058103771
linear,1,NGC 4472,-0.058452663257135384,0.06717352598789268
linear,1,NGC 4486,-0.07635364370485576,0.07430301938860726
linear,1,NGC 4552,0.10717082244322995,0.06855199151888842
linear,1,NGC 4636,0.0501555866624841,0.07460876175542394
linear,1,NGC 4649,0.12820532901216808,0.07010137575619874
quadratic,2,NGC 1380,-0.09383265256217754,0.07425317685353355
quadratic,2,NGC 1399,0.04377962294843485,0.11519824540759674
quadratic,2,NGC 1404,-0.016374700607183712,0.08610798925682342
quadratic,2,NGC 4374,0.040276373378329566,0.06857996424603748
quadratic,2,NGC 4406,-0.13207786087502882,0.07479513195823989
quadratic,2,NGC 4472,-0.060119097772172836,0.07469906526331928
quadratic,2,NGC 4486,-0.08976502131286779,0.07881369075914009
quadratic,2,NGC 4552,0.10645372286789012,0.0725468588042944
quadratic,2,NGC 4636,0.04711633452009778,0.07800465538249285
quadratic,2,NGC 4649,0.13290199632760746,0.07354200471856089
