galaxy,source_articles,jwst_programs,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls
NGC 4258,Blakeslee2021;Blakeslee2021/2025 zero-point anchor;Jensen2015;Jensen2015 text;Jensen2025;TRGB-SBF-I;TRGB-SBF-IV;previous_curated_table,1685;1995;2080;2875,jw02875-o010_t008_nircam_clear-f150w;jw01685-o006_t003_nircam_clear-f150w;jw01685-o005_t003_nircam_clear-f150w,jw02875-o010_t008_nircam_clear-f090w;jw01685-o006_t003_nircam_clear-f090w;jw01685-o005_t003_nircam_clear-f090w,mast:JWST/product/jw02875-o010_t008_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o006_t003_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o005_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw02875-o010_t008_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o006_t003_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o005_t003_nircam_clear-f090w_i2d.fits
NGC 5643,TRGB-SBF-IV,1685;1995;3707;4793,jw01685-o011_t006_nircam_clear-f150w;jw01685-o012_t006_nircam_clear-f150w;jw03707-o114_t052_nircam_clear-f150w;jw04793-o017_t015_nircam_clear-f150w,jw01685-o011_t006_nircam_clear-f090w;jw01685-o012_t006_nircam_clear-f090w,mast:JWST/product/jw01685-o011_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw03707-o114_t052_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw04793-o017_t015_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw01685-o011_t006_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f090w_i2d.fits
