galaxy,color_F090W_F150W,mu_lit,mu_sbf_loo,mu_residual_loo,sigma_mu_residual_loo
NGC 1380,0.4128764525855525,31.408,31.319613732492616,-0.08838626750738499,0.06779300071157743
NGC 1399,0.4379951764684919,31.498,31.538419953616145,0.040419953616144255,0.11301110184060725
NGC 1404,0.476706192019932,31.366,31.37273472150894,0.006734721508941277,0.07192821258412369
NGC 4374,0.4209766117484163,31.112,31.134944364583205,0.022944364583207033,0.061962466645538596
NGC 4406,0.3059175731995949,31.096,31.004507654682094,-0.0914923453179064,0.06706657058103771
NGC 4472,0.4051868436195047,31.016,30.957547336742863,-0.058452663257135384,0.06717352598789268
NGC 4486,0.4633101476484701,31.046,30.969646356295144,-0.07635364370485576,0.07430301938860726
NGC 4552,0.4579852664671481,30.923,31.030170822443228,0.10717082244322995,0.06855199151888842
NGC 4636,0.3106152043717528,31.07,31.120155586662484,0.0501555866624841,0.07460876175542394
NGC 4649,0.3262495967514945,31.009,31.13720532901217,0.12820532901216808,0.07010137575619874
