galaxy,galaxy_label,color_F090W_F150W,mbar_150,mu_lit,mu_sbf_loo,resid_loo,sigma_resid_loo
NGC 1380,1380,0.4128764525855525,27.887066663992847,31.408,31.317762020225,-0.09023797977500081,0.06682989970094248
NGC 1399,1399,0.4379951764684919,28.12486539458426,31.498,31.53586006954758,0.037860069547580366,0.11213813505568314
NGC 1404,1404,0.476706192019932,28.004211864812287,31.366,31.37002705915488,0.004027059154878998,0.06743387669422475
NGC 1549,1549,0.3437686523814806,27.67048994459887,31.231,31.18024665234402,-0.05075334765598072,0.05882103388757276
NGC 3379,3379,0.3529214064376942,26.653557577800136,30.078,30.173692447255025,0.09569244725502557,0.06312396608663268
NGC 4374,4374,0.4209766117484163,27.698255826347992,31.112,31.131338999910838,0.01933899991083976,0.06049497242981121
NGC 4406,4406,0.3059175731995949,27.487488983535293,31.096,31.02158794395636,-0.07441205604364143,0.05809643241249766
NGC 4472,4472,0.4051868436195047,27.512608378685663,31.016,30.955428902646204,-0.060571097353793846,0.06631979052128338
NGC 4486,4486,0.4633101476484701,27.599748087837057,31.046,30.967140071281133,-0.07885992871886671,0.07139731672854194
NGC 4552,4552,0.4579852664671481,27.618028064201024,30.923,31.027074136794223,0.10407413679422461,0.06546993159652062
NGC 4636,4636,0.3106152043717528,27.54826834900649,31.07,31.112488453235873,0.04248845323587247,0.07103627024941755
NGC 4649,4649,0.3262495967514945,27.56937999274304,31.009,31.124680984747542,0.11568098474754152,0.06734049886113722
