galaxy,mbar_150,sigma_mbar_150,color_F090W_F150W,color_sigma_proxy,recommended_mbar_inner,recommended_mbar_outer,inner_outer_delta,sigma_Pk_jensen_weighted_annuli,sigma_PSF_mag,sigma_Pr_proxy_weighted,sigma_bkg_mag,sigma_ext_mag,Pr_over_P0_weighted,quality_flag,source_articles,mu_lit,sigma_mu_lit,distance_lit_mpc,sigma_distance_lit_mpc,distance_method,distance_source,distance_reference,mu_project_iv_thin,sigma_project_iv_thin,mu_project_iv_thick,sigma_project_iv_thick,mu_prior_lit,sigma_mu_prior_lit,prior_lit_source,notes,Mbar_150,sigma_Mbar_150,sigma_Mbar_150_with_trgb_zp_sys,fit_sample,has_absolute_sbf,is_clean,Mbar_150_fit_paper,sigma_Mbar_fit_paper,Mbar_150_residual_paper,mu_sbf_paper,mu_residual_paper,sigma_mu_sbf_paper,sigma_mu_residual_paper
NGC 1380,27.887066663992847,0.0382492748589389,0.4128764525855525,0.0645095072380529,27.958796496815964,27.8147145452094,0.1440819516065623,0.0369569861295342,0.0072220329709224,0.0066877365899511,0.0003897707107765,0.0003907701618978,0.023928320710428,clean,Jensen2015 Table1; Jensen2025 Table1; TRGB-SBF Project I,31.408,0.025,19.125,0.22,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.408,0.025,31.405,0.027,31.397,0.066,Project I,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.520933336007154,0.045694715528545,0.0648383145002602,clean,True,True,-3.4418995659546296,0.01486405761933803,-0.07903377005252432,31.328966229947476,-0.07903377005252565,0.06280721204168471,0.06759989559495744
NGC 1399,28.12486539458426,0.0975742428459645,0.4379951764684919,0.1145032096842804,28.209566675530887,27.94292353251864,0.2666431430122458,0.0972312473454057,0.0071363234297017,0.0026745945389616,0.0029443116896048,0.0002605134412652,0.0097441608286211,clean,Jensen2015 Table1; Jensen2025 Table1; TRGB-SBF Project I,31.498,0.026,19.934,0.239,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.498,0.026,31.468,0.026,31.511,0.068,Project I,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.3731346054157427,0.1009788733694491,0.110962754413196,clean,True,True,-3.412347127716185,0.017452748614126365,0.039212522300442476,31.537212522300443,0.03921252230044203,0.10993693623825722,0.11296959745637157
NGC 1404,28.004211864812287,0.0392950284286515,0.476706192019932,0.0786927313378496,28.063214076824185,27.854669976964537,0.2085440998596475,0.0385511790718172,0.0072014905433199,0.002450684459617,1.885961891888642e-05,0.0001953850809489,0.0089416896869961,clean,Jensen2015 Table1; Jensen2025 Table1; TRGB-SBF Project I,31.366,0.025,18.759,0.216,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.366,0.025,31.355,0.027,31.364,0.067,Project I,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.3617881351877124,0.0465735897178704,0.0654606695597328,clean,True,True,-3.3668032178598253,0.023534149857460305,0.005015082672112925,31.371015082672113,0.005015082672112925,0.0660208612260202,0.07059570891368269
NGC 1549,27.67048994459887,0.0201416374905221,0.3437686523814806,0.0927028436334777,27.866263648009053,27.48945687417954,0.3768067738295109,0.0173080642207763,0.0072623272425147,0.0065120709317156,0.0033015362604308,0.0002605134412652,0.0234236188141816,truncated_file_warning,TRGB-SBF Project target set,31.231,0.026,17.628,0.211,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.231,0.026,31.262,0.026,,,none,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note; no prior Project I/II literature modulus listed in Project IV table,-3.5605100554011315,0.0328889884429364,0.0565480818489858,flagged,True,False,-3.523205607091246,0.01754683114045167,-0.03730444830988544,31.193695551690116,-0.037304448309885885,0.05453783541885962,0.06041833738340222
NGC 3379,26.653557577800136,0.0286776328817944,0.3529214064376942,0.1088822330194692,26.781523199711906,26.57617228957312,0.2053509101387867,0.0228198723951583,0.0076246546855429,0.0155962150958642,0.000360646450147,0.0003907701618978,0.0542355587403326,truncated_file_warning,TRGB-SBF Project II target set,30.078,0.028,10.366,0.134,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,30.078,0.028,30.077,0.03,30.085,0.076,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.4244424221998635,0.0400800028406058,0.0610115286458467,flagged,True,False,-3.5124372973547136,0.016421076404672073,0.08799487515485005,30.16599487515485,0.08799487515485183,0.0579038602020154,0.06431840348060999
NGC 4374,27.698255826347992,0.0235034725621607,0.4209766117484163,0.1036816264881458,27.75196891827496,27.53821743212129,0.2137514861536722,0.0222134874481586,0.0070493475107227,0.0027191605646079,0.000716066681824,0.0011723104856935,0.0099133500239374,clean,TRGB-SBF Project II target set,31.112,0.027,16.688,0.207,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.112,0.027,31.111,0.028,31.195,0.075,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.413744173652006,0.0357968325760847,0.0582873332936088,clean,True,True,-3.432369644988195,0.01553076390684837,0.01862547133618886,31.130625471336188,0.018625471336189747,0.05526677571845488,0.06150948299501463
NGC 4406,27.487488983535293,0.0192864458171155,0.3059175731995949,0.1205595582098316,27.605387602800302,27.370726844616367,0.234660758183935,0.0174913417932684,0.0071767260628234,0.0037747277411962,0.0004451075977207,0.0002605134412652,0.013690080612287,clean,TRGB-SBF Project II target set,31.096,0.025,16.565,0.191,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.096,0.025,31.072,0.027,31.139,0.072,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.608511016464707,0.0315747841205055,0.0557939691387566,clean,True,True,-3.5677377929217884,0.023508984636877256,-0.04077322354291857,31.055226776457083,-0.040773223542917236,0.056439684613018105,0.06172874532352778
NGC 4472,27.512608378685663,0.035931687240979,0.4051868436195047,0.0855235342848516,27.606464063161383,27.45825875071864,0.1482053124427409,0.0337868971369453,0.0074212688805914,0.0096748279103734,0.000915006084331,0.0001302567206326,0.0342504300875931,clean,Jensen2015 Table1; Jensen2025 Table1; TRGB-SBF Project II,31.016,0.027,15.966,0.199,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.016,0.027,31.014,0.026,31.091,0.071,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.5033916213143357,0.0449453684820086,0.0643124105284783,clean,True,True,-3.450946470371667,0.01440887681214312,-0.05244515094266866,30.96355484905733,-0.052445150942666885,0.061314765980753264,0.06699627248791187
NGC 4486,27.599748087837057,0.0457640510579249,0.4633101476484701,0.111122377292577,27.668089673005277,27.44635657154899,0.2217331014562873,0.0451321802509088,0.0068260101451436,0.0032635581105641,0.0001916968173385,0.0003907701618978,0.0118755754914535,clean,Blakeslee2021 Table4; TRGB-SBF Project II,31.046,0.025,16.188,0.186,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,31.046,0.025,31.046,0.027,31.062,0.071,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.4462519121629427,0.0521473716426087,0.0695366692417199,clean,True,True,-3.3825638025046514,0.02123876666255963,-0.0636881096582913,30.98231189034171,-0.06368810965829041,0.0693269949361899,0.07369689428247639
NGC 4552,27.618028064201024,0.0335273541522398,0.4579852664671481,0.1081114869324383,27.65655098186962,27.474669278691948,0.1818817031776731,0.0321634357529776,0.007287486386847,0.0059596382719086,0.0001332201068805,0.0009769254047446,0.021378487937612,clean,Jensen2025 Table1; TRGB-SBF Project II,30.923,0.028,15.297,0.197,JWST_TRGB,TRGB-SBF Project IV Table distances,arXiv:2603.11160,30.923,0.028,30.921,0.029,30.933,0.075,Project II,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note,-3.3049719357989744,0.0436816148562494,0.0634356640735297,clean,True,True,-3.3888285802446125,0.02037372582739685,0.08385664444563812,31.006856644445637,0.083856644445639,0.061643903419909565,0.0677050280912957
