galaxy,source_articles,jwst_programs,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls,selection_file,source_urls,already_processed,mast_query_status,mast_error,jwst_obs_count,jwst_nircam_obs_count,jwst_filters,has_public_nircam_f150w,has_public_nircam_f090w,recommended_for_sbf_extension
NGC 1559,Tonry-SBF-survey,1685;3707,jw01685-o001_t001_nircam_clear-f150w;jw01685-o002_t001_nircam_clear-f150w;jw03707-o014_t008_nircam_clear-f150w,jw01685-o001_t001_nircam_clear-f090w;jw01685-o002_t001_nircam_clear-f090w,mast:JWST/product/jw01685-o001_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o002_t001_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw03707-o014_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw01685-o001_t001_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o002_t001_nircam_clear-f090w_i2d.fits,jwst_extended_sbf_literature_unprocessed_f150w_f090w.csv,https://arxiv.org/abs/astro-ph/9609113,False,ok,,12.0,10.0,F090W;F150W;F187N;F277W;F300M;F335M,True,True,True
NGC 205,Tonry-SBF-survey,4783,jw04783-o003_t003_nircam_clear-f150w,jw04783-o003_t003_nircam_clear-f090w,mast:JWST/product/jw04783-o003_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw04783-o003_t003_nircam_clear-f090w_i2d.fits,jwst_extended_sbf_literature_unprocessed_f150w_f090w.csv,https://arxiv.org/abs/astro-ph/9609113,False,ok,,6.0,6.0,F090W;F115W;F150W;F277W;F356W;F444W,True,True,True
NGC 4258,Blakeslee2021;Blakeslee2021/2025 zero-point anchor;Jensen2015;Jensen2015 text;Jensen2025;TRGB-SBF-I;TRGB-SBF-IV;previous_curated_table,1685;1995;2080;2875,jw02875-o010_t008_nircam_clear-f150w;jw01685-o006_t003_nircam_clear-f150w;jw01685-o005_t003_nircam_clear-f150w,jw02875-o010_t008_nircam_clear-f090w;jw01685-o006_t003_nircam_clear-f090w;jw01685-o005_t003_nircam_clear-f090w,mast:JWST/product/jw02875-o010_t008_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o006_t003_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o005_t003_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw02875-o010_t008_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o006_t003_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o005_t003_nircam_clear-f090w_i2d.fits,jwst_article_galaxies_unprocessed_f150w_f090w.csv,,,,,,,,,,
NGC 5643,TRGB-SBF-IV,1685;1995;3707;4793,jw01685-o011_t006_nircam_clear-f150w;jw01685-o012_t006_nircam_clear-f150w;jw03707-o114_t052_nircam_clear-f150w;jw04793-o017_t015_nircam_clear-f150w,jw01685-o011_t006_nircam_clear-f090w;jw01685-o012_t006_nircam_clear-f090w,mast:JWST/product/jw01685-o011_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw03707-o114_t052_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw04793-o017_t015_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw01685-o011_t006_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f090w_i2d.fits,jwst_article_galaxies_unprocessed_f150w_f090w.csv,,,,,,,,,,
