target_name,target_norm,candidate_class,proposal_id,target_classification,proposal_pi,obs_title,obsids_F150W,obsids_F090W
NGC-147,NGC-147,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o001_t001_nircam_clear-f150w,jw04783-o001_t001_nircam_clear-f090w
NGC-185,NGC-185,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o002_t002_nircam_clear-f150w,jw04783-o002_t002_nircam_clear-f090w
NGC-205,NGC-205,local_group_dwarf_elliptical_sbf_literature,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o003_t003_nircam_clear-f150w,jw04783-o003_t003_nircam_clear-f090w
AQUARIUS-DIRR,AQUARIUS-DIRR,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o004_t004_nircam_clear-f150w,jw04783-o004_t004_nircam_clear-f090w
CETUS-DSPH,CETUS-DSPH,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o007_t007_nircam_clear-f150w,jw04783-o007_t007_nircam_clear-f090w
DRACO-II,DRACO-II,local_group_dwarf_or_dwarf_spheroidal,1334,Galaxy; Dwarf galaxies; Dwarf spheroidal galaxies,"Weisz, Daniel R.",The Resolved Stellar Populations Early Release Science Program,jw01334-o003_t003_nircam_clear-f150w,jw01334-o003_t003_nircam_clear-f090w
IC-1613,IC-1613,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o008_t008_nircam_clear-f150w,jw04783-o008_t008_nircam_clear-f090w
LEO-A,LEO-A,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o006_t006_nircam_clear-f150w,jw04783-o006_t006_nircam_clear-f090w
PEGASUS-DIRR,PEGASUS-DIRR,local_group_dwarf_or_dwarf_spheroidal,4783,Galaxy; Dwarf galaxies,"Savino, Alessandro",Anchoring the JWST population II distance ladder to Gaia,jw04783-o005_t005_nircam_clear-f150w,jw04783-o005_t005_nircam_clear-f090w
Pegasus-W,PEGASUS-W,local_group_dwarf_or_dwarf_spheroidal,7119,Galaxy; Dwarf galaxies,"Sand, David J.",Does Reionization Quench All Ultra-faint Dwarf Galaxies? The Ancient Star Formation History of Pegasus W,jw07119-o001_t001_nircam_clear-f150w,jw07119-o001_t001_nircam_clear-f090w
