sma,intens,x0_full,y0_full,eps,pa,node_origin,grad
20.0,117.50670371946303,4345.87485473899,1545.465486519036,0.124649963994683,1.2533609976642797,fitted,-2.999581104579755
30.0,87.51089267366548,4345.655302715213,1545.4273491681345,0.1574823178650307,1.2612229710417413,fitted,-2.3740281366574347
40.0,70.02614098631435,4345.599169545547,1545.3659633327813,0.17738133054333002,1.2599384414270445,fitted,-1.5264438311115809
50.0,56.98201605143387,4345.804530654092,1545.5033575004245,0.1648079237967708,1.2582405626295745,fitted,-1.1278478615065324
60.0,47.469183756183696,4345.882444000457,1545.4996140238325,0.167310930584166,1.2680842488531017,fitted,-0.8250866270034298
70.0,40.48028351136527,4345.893841763762,1545.6072488591324,0.1778578182417166,1.2760186003852634,fitted,-0.6624288113868446
80.0,34.220607528446806,4345.786321303254,1545.3610455847586,0.17246169671424033,1.2670605556538452,fitted,-0.5460302084167323
90.0,29.559679343030623,4345.661722095661,1545.2698439175695,0.1718320942296109,1.2770884727064082,fitted,-0.42497544681285326
100.0,25.72109859218974,4346.367924909971,1545.6243592638352,0.16337609142899093,1.250725502477862,fitted,-0.33349809450156576
110.0,22.88971745299931,4345.843551896864,1545.5889022722943,0.18180488324270358,1.281416362010578,fitted,-0.2723608226485694
120.0,20.273882139218355,4345.80911124831,1544.8057816877617,0.17918579974202112,1.3041753320310214,fitted,-0.22881533418018507
130.0,18.31341076939561,4345.850853485474,1545.3161667218394,0.1906742157918649,1.3104620123777508,fitted,-0.18727345450894073
140.0,16.52841304903954,4345.977832807952,1545.2498055684093,0.19302254805887414,1.3096589636741194,fitted,-0.17048684782671575
150.0,14.903673812861294,4345.80132753187,1545.5890529509056,0.19745218439683157,1.3204931038853915,fitted,-0.15818045208548992
160.0,13.364804007329742,4345.659039002806,1545.663497415926,0.19411058092502645,1.3185322824269419,fitted,-0.1466830081305428
170.0,11.97001365025044,4345.97370961474,1545.6819534442782,0.1896712827586649,1.3015478164362757,fitted,-0.13425803590986107
180.0,10.679643289132521,4346.004193974599,1545.283745835477,0.17867825756805317,1.3091302419457187,fitted,-0.12097384289716911
190.0,9.550536792307057,4345.564029629214,1545.385661914621,0.166767570933559,1.316065582428268,fitted,-0.10755230643986208
200.0,8.528597160335279,4345.81744918107,1545.7503281938857,0.14985825866836303,1.3253128885658354,fitted,-0.0911137085408637
210.0,7.728262621489783,4345.7287972106515,1544.7196268016482,0.14772189547228726,1.3438666292566037,fitted,-0.07525371602459557
220.0,7.023522839843367,4345.911348725592,1545.9330482314513,0.14115596035833652,1.3334831314933115,fitted,-0.06376359597125941
230.0,6.452990702064595,4346.213184909151,1545.142177434848,0.14115596035833652,1.3334831314933115,fitted,-0.05396040141548025
240.0,5.944314811533763,4345.827829513293,1545.2226239923998,0.14054970423090657,1.3418379399936198,fitted,-0.04700423572922269
250.0,5.512905987480141,4345.392857035704,1545.9192197298626,0.14054970423090657,1.3668211672836639,fitted,-0.04325611474178476
260.0,5.079192516698067,4345.656246452156,1545.2158909410018,0.13633150497031027,1.370366268460402,fitted,-0.03778156983349268
270.0,4.757274590810288,4346.167303767275,1545.8157721902903,0.13724444146382309,1.3632251874816244,fitted,-0.034259287203175864
280.0,4.39400677263455,4345.705355523696,1546.844376377346,0.1272437659377456,1.3632251874816244,fitted,-0.031476759119395875
290.0,4.12773940842237,4345.260742943039,1546.6871644615123,0.12817882206155484,1.3648993864746792,fitted,-0.026553790709524155
300.0,3.862930958444067,4346.4955410133725,1545.8787466686333,0.13254135571263564,1.3940908865975514,fitted,-0.024916932238134015
310.0,3.6294007636596897,4345.466155813987,1545.7871487413693,0.12829521640384095,1.4222585592741535,fitted,-0.025780496115067636
320.0,3.3473210361427146,4345.466155813987,1545.7871487413693,0.11706179143463918,1.4041144052051466,fitted,-0.023923344812582487
330.0,3.15093386740804,4344.796755877179,1545.1249094387986,0.11706179143463918,1.3822537893239564,fitted,-0.018889704123523476
340.0,2.969526953672245,4345.009034283776,1546.7259685642157,0.11706179143463918,1.401241873209397,fitted,-0.01646214270819532
350.0,2.8216910132441337,4345.120646206792,1545.3667531734652,0.11867653165258639,1.3994709411996737,fitted,-0.015544403899012793
360.0,2.6586388756919894,4345.120646206792,1545.3667531734652,0.11867653165258639,1.3994709411996737,fitted,-0.016138620882442944
370.0,2.4989185955952746,4345.977735831206,1546.3531254932814,0.11319230890601362,1.3943323660301148,fitted,-0.011447143271849092
380.0,2.4296960102550074,4344.046282084972,1546.4437963720611,0.11319230890601362,1.4198851761036677,fitted,-0.006393936869092125
390.0,2.6868398216567315,4347.832799421468,1549.8213284548117,0.1146466393527912,1.3585885584961592,fitted,-0.015650752692393355
400.0,2.1166809564071403,4347.396407357193,1547.795852377454,0.10580493825317142,1.3707182949403287,fitted,-0.03409802985930441
410.0,2.0048792244706437,4345.772988862884,1547.2286996378157,0.10580493825317142,1.38014430037976,fitted,-0.010595663395301963
420.0,1.904767688501101,4345.47496495156,1546.2811658478875,0.10841652852034989,1.3902903362180634,fitted,-0.009563289839437009
430.0,1.8136134276819034,4345.47496495156,1546.2811658478875,0.11661409719864589,1.404975685880309,fitted,-0.007903627671246236
440.0,1.7466951350761764,4347.025349540647,1547.355582933237,0.12008939039336543,1.385095612766512,fitted,-0.0094102088144941
450.0,1.6254092513920213,4344.1416937806025,1547.8973214706743,0.10776780846032728,1.385095612766512,fitted,-0.010406281617938398
460.0,1.5385695027174084,4344.989108183239,1547.364786120196,0.10996601849056588,1.4356338829891597,fitted,-0.006903297152811239
470.0,1.4873433083357968,4343.272917689854,1548.572140666733,0.11812424642569316,1.5071491846649334,fitted,-0.007119815600738072
480.0,1.396173190702647,4345.396104064788,1546.4508454166241,0.11052384615735089,1.4758519826633405,fitted,-0.007521816539424367
490.0,1.3369069775473092,4345.1718573767175,1548.2880109875707,0.11472341173120544,1.4758519826633405,fitted,-0.006811235420510764
500.0,1.2599484822924316,4343.6348864741685,1549.4658271346966,0.11096075663700068,1.4655975169456301,fitted,-0.006543180211922933
510.0,1.2060433733088507,4340.274158658053,1545.0265988363371,0.11096075663700068,1.452738482303774,fitted,-0.006047964735319655
520.0,1.1389891875860385,4343.784229565459,1548.173184651099,0.11096075663700068,1.4439664105505663,fitted,-0.006216971338344909
530.0,1.0817039465419525,4343.5368868831665,1546.2334607444634,0.11096075663700068,1.4534740816505825,fitted,-0.005074460762806404
540.0,1.0374999723299105,4343.5368868831665,1546.2334607444634,0.11096075663700068,1.4534740816505825,fitted,-0.005219005832800605
550.0,0.9773238298859404,4343.5368868831665,1546.2334607444634,0.10737494746842878,1.4948755899804789,fitted,-0.004453104768123932
560.0,0.9484378769674319,4343.394015005924,1547.1572971560784,0.11548272422406546,1.4884838918195389,fitted,-0.003558286283789125
570.0,0.906158104210158,4342.362974361077,1547.2423568115496,0.11548272422406546,1.4884838918195389,fitted,-0.004588654385174119
580.0,0.8566647892639494,4342.362974361077,1547.2423568115496,0.11548272422406546,1.4884838918195389,fitted,-0.004487671633622847
590.0,0.816404671537701,4341.09329266926,1547.896652639225,0.11067763221890843,1.4733711791923119,fitted,-0.0038479895107266515
600.0,0.7797049990494164,4341.09329266926,1547.896652639225,0.10897024036591778,1.4733711791923119,fitted,-0.001926190126683304
610.0,0.7778808690040349,4341.505773094013,1552.117067666471,0.13002569690200158,1.4600410478555108,fitted,-0.0024554115854995284
620.0,0.7305967673394259,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0039024181938059066
630.0,0.6998325051279167,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.003251954329590627
640.0,0.6655576807476133,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.002362831660464193
650.0,0.652575871918633,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0021108463923218204
660.0,0.623340752901177,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0024087053396410416
670.0,0.6044017651258121,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.00241506147169741
680.0,0.5750395234672288,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0030186059119556123
690.0,0.5440296468866999,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.002142146867006728
700.0,0.5321965861270942,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0021343044970828506
710.0,0.5013435569450428,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0008705732164347758
720.0,0.5147851217983986,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0009581614771360832
730.0,0.48218032740232114,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.002430240046094309
740.0,0.4661803208765125,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0009326184034529512
750.0,0.46352795933326213,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.00048734994889856886
760.0,0.4564333218985411,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0006005701603928172
770.0,0.489255949196971,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0006353973366194429
780.0,0.5750971895480315,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0007373040891641429
790.0,0.7215105594894979,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0009133045056829088
800.0,0.7718964804188615,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.012358003982424818
810.0,0.4743504798410016,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.01934483320693811
820.0,0.3849998162800994,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.006229149917218988
830.0,0.34976748149662185,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0025128311874869323
840.0,0.3347431925303607,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0013202261555752756
850.0,0.32336295838511636,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0011399143715203845
860.0,0.31194490509995304,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.00015977832334715739
870.0,0.32016739191817317,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0001331773036249151
880.0,0.30928135902745474,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.00035145608980392584
890.0,0.32371464545204376,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0006350569001728219
900.0,0.2965802210239983,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.002498208858611864
910.0,0.2737504682798065,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.0028514127562727105
920.0,0.23955196589854408,4343.487335155569,1549.2289752529632,0.11936303713944821,1.45638288614368,fitted,-0.003061173755485697
