galaxy,mbar_150,sigma_mbar_150,color_F090W_F150W,mu_sbf_clean_linear,sigma_mu_sbf_clean_linear,mu_lit,sigma_mu_lit,m160_ab_jensen2015,sigma_m160_ab_jensen2015,g475_z850_jensen2015,sigma_g475_z850_jensen2015,mu_reference_acs_sbf_jensen2015,sigma_mu_reference_acs_sbf_jensen2015,M160_calib_jensen2015,sigma_M160_calib_no_scatter,sigma_M160_calib_with_scatter,mu_f160w_jensen2015_reconstructed,sigma_mu_f160w_jensen2015_reconstructed,delta_mu_f150w_minus_f160w,sigma_delta_mu,distance_ratio_f150w_over_f160w
NGC 1380,27.887066663992847,0.0382492748589389,0.4128764525855525,31.32624316915244,0.0619777015872485,31.408,0.025,27.8,0.05,1.391,0.007,31.632,0.075,-3.7181699999999998,0.03181529506385254,0.11835629683291042,31.51817,0.12848429086857271,-0.19192683084756013,0.14265149313637773,0.9154078530960943
NGC 1399,28.12486539458426,0.0975742428459645,0.4379951764684919,31.534768192409903,0.109082360323595,31.498,0.026,28.03,0.04,1.49,0.005,31.596,0.091,-3.5073,0.038573468861381924,0.12034912754149904,31.537300000000002,0.12682236592967347,-0.0025318075900990777,0.16728082326963428,0.9988347389614571
NGC 1404,28.004211864812287,0.0392950284286515,0.476706192019932,31.369000311083532,0.062628489731207,31.366,0.025,27.94,0.06,1.471,0.006,31.526,0.072,-3.5477699999999994,0.0362604095398825,0.11962782828422491,31.48777,0.13383130164501877,-0.11876968891646911,0.14776043119188542,0.9467734315576697
NGC 4472,27.512608378685663,0.035931687240979,0.4051868436195047,30.960746460214885,0.0605748678478699,31.016,0.027,27.59,0.05,1.514,0.006,31.116,0.075,-3.45618,0.043528574522949885,0.1220276067125796,31.04618,0.1318739428393646,-0.08543353978511448,0.14512081661425041,0.9614203093012094
NGC 4649,27.56937999274304,0.0391345668183953,0.3262495967514945,31.109512630736628,0.0625279360515507,31.009,0.025,27.63,0.05,1.554,0.006,31.082,0.079,-3.3709799999999994,0.05173224139741099,0.1251887566836575,31.00098,0.1348043945871202,0.10853263073662944,0.14860002552781348,1.051251252273396
