schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,method_variant,variant,record_type,quantity_family,quantity_name,primary_unit,method_id,status,mbar_spec,selected_region,calibration_applied,distance_computed,notes,region_id
sbf-table-2,sbf-3.1,NGC 4506,7763,040,F150W,F115W,default,selected_current_residual,pipeline_variant,apparent_sbf_magnitude,mbar_spec,AB mag,single_annulus_qc_selection_v1,available,27.438600681050563,circular_inner_lit,False,False,sigma-capped data-model residual; compact-source correction P_fluc=P0-Pr,
sbf-table-2,sbf-3.1,NGC 4506,7763,040,F150W,F115W,default,alternative_residual_cleaning,pipeline_variant,apparent_sbf_magnitude,mbar_spec,AB mag,not_run,not_run,,,False,False,reserved for an independent residual-cleaning systematic check,
