summary,color_F090W_F150W,sigma_proxy,notes
SBF-weighted circular-annuli color,0.641485171643747,0.0017029621021175667,"uses same annulus weights as recommended SBF; sigma_proxy is half inner-outer color difference, not full calibration error"
mean of available circular-annuli colors,0.6414947760326151,0.0024083521010220587,simple annulus-matched diagnostic color summary
